A_につけ_B_につけ_（A_ni_tsuke_B_ni_tsuke）.md|A_につけ_B_につけ_(A_ni_tsuke_B_ni_tsuke).md
A_のやら_B_のやら_(A_noyara_B_noyara).md|A_のやら_B_のやら_(A_no_yara_B_no_yara).md
Noun_+_あっての_+_Noun_(A_atteno_B).md|Noun_+_あっての_+_Noun_(A_atte_no_B).md
Noun_+_前提で（~zentei_de).md|Noun_+_前提で_(Noun_+_zentei_de).md
Noun_こそあれ_(~kosoare).md|Noun_こそあれ_(~koso_are).md
Noun_といい_Noun_といい_(〜toii〜toii).md|Noun_といい_Noun_といい_(〜to_ii〜to_ii).md
Noun_ともなると_(〜to_mo_naruto).md|Noun_ともなると_(〜to_mo_naru_to).md
Noun_に_かえります_(Noun_ni_kaerimasu).md|Noun_に_帰ります_(Noun_ni_kaerimasu).md
Noun_に_来ます_(ni_kimasu).md|Noun_に_来ます_(Noun_ni_kimasu).md
Noun_に限ったことでもない_(~_ni_kagitta_koto_demo_nai).md|Noun_に限ったことでもない_(~ni_kagitta_koto_demo_nai).md
Noun_は_おろか～すら_(Noun_wa_oroka_～sura).md|Noun_はおろか～すら_(Noun_wa_oroka_～sura).md
Noun_を_はじめとして_(Noun_wo_hajimete_shite).md|Noun_を_はじめとして_(Noun_wo_hajime_to_shite).md
Noun_を_はじめとする_Noun_(Noun_wo_hajimete_suru_Noun).md|Noun_を_はじめとする_Noun_(Noun_o_hajime_to_suru_Noun).md
Noun_を_めぐる_Noun_(Noun_wo_meguru_Noun).md|Noun_を_めぐる_Noun_(Noun_o_meguru_Noun).md
Noun_を皮切りに_-_を皮切りにして_(Noun_wo_kakikiri_ni_-_wo_kawakiri_ni_shite).md|Noun_を皮切りに_-_を皮切りにして_(Noun_wo_kawakiri_ni_-_wo_kawakiri_ni_shite).md
Verb_そうもない_(〜sou_monai).md|Verb_そうもない_(〜sou_mo_nai).md
Verb_ば_きり_が_ない_(〜ba_kiri_ga_nai).md|Verb_ば_きりがない_(〜ba_kiri_ga_nai).md
Verb_やしない_(~yashinai).md|Verb_やしない_(~_yashinai).md
Verb_よう_(~_you).md|Verb_よう_(~_you_-_~_you_ni).md
Verb_ようか_Verbる_まいか_(Verb_you_ka_Verb_ru_mai_ka).md|Verb_ようか_Verbるまいか_(Verb_you_ka_Verb_ru_mai_ka).md
Verb_ようがない_(〜yō_ga_nai).md|Verb_ようがない_(〜you_ga_nai).md
Verbる_や否や_(verb-ru_ya_ina_ya).md|Verbる_や否や_(Verb-ru_ya_ina_ya).md
いくつ～_(ikutsu~.md|いくつ～_(ikutsu~).md
いつまで～のやら。。。_(itsumade_~_no_yara).md|いつまで～のやら_(itsumade_~_no_yara).md
どうにか～ないものか_(dou_ni_ka_~_nai_mono_ka).md|どうにか～ないものか_(dō_ni_ka_~_nai_mono_ka).md
な-Adjective_く_Verb_(na-Adjective_+_ku_+_Verb).md|な-Adjective_に_+_Verb.md
もし～としても_(moshi_～_to_shitemo).md|もし～ても_(moshi_~_temo).md
～さえ～ば_(〜sae_〜ba).md|～さえ～ば_(〜sae_~ba).md
～さ～_(〜sa〜).md|～さ_(〜sa).md
～て当然だ_(〜te_touzen_da).md|～て当然だ_(〜te_tōzen_da).md
～といったらない。_(〜to_ittara_nai).md|～といったらない_(〜to_ittara_nai).md
～どころか_(〜dokoroka).md|～どころか_(〜dokoro_ka).md
～どころではない_(〜Dokoro_de_wa_nai).md|～どころではない_(〜dokoro_de_wa_nai).md
～のは_Noun_ぐらいのものだ_(〜no_wa_〜_gurai_no_mono_da).md|～のは_Noun_ぐらいのものだ_(〜no_wa_Noun_gurai_no_mono_da).md
～はもとより_(〜wa_moto_yori〜mo).md|～はもとより_(〜wa_moto_yori).md
～びた_Noun_(～_bi_ta_～).md|～びた_(～bita).md
～ぶった.md|～ぶった_(～butta).md
～れている_(〜rete_iru).md|～ている_(〜te_iru).md
～んばかりに_(〜n_bakari_ni_～).md|～んばかりに_(〜n_bakari_ni).md
～差し支えない_(〜sashi_tsukaenai).md|～差し支えない_(〜sashitsukaenai).md
～足る_Noun_(〜taru～).md|～足る_Noun_(〜taru_Noun).md
