(으)로_[(eu)ro]_(To,_toward;_as_a_tool-method).md|(으)로_[(eu)ro]_(To,_toward;_by_means_of).md
~(으)나마_[(eu)namah]_(At_least,_even_if_only).md|~(으)나마_[(eu)nama]_(At_least,_even_if_only).md
~(으)니깐_[(eu)nikkan]_(Because,_so).md|~(으)니까_[(eu)nikka]_(Because,_so).md
~(으)리니_[(eu)rini]_(Of_course,_as_one_would_expect).md|~(으)니_[(eu)ni]_(Because,_as_one_would_expect).md
~(으)면_할수록_[(eu)myeon_halsurok]_(The_more..._the_more...).md|~(으)면_~(으)ㄹ수록_[(eu)myeon_~(eu)lsurok]_(The_more..._the_more...).md
~(으)시다_[(eu)sida]_(Let_s).md|~(으)ㅂ시다_[(eu)bshida]_(Let_s).md
~간이다_[ganida]_(Used_to_express_that_someone_does_something_while_doing_another_action).md|
~거든요_[geondeunyo]_(You_see;_Explaining).md|~거든요_[geodeunyo]_(You_see;_Explaining).md
~겠지만_[gesjiman]_(I_think,_but).md|~겠지만_[gesjiman]_(I_think,_but...).md
~고_보면_[go_bomyeon]_(When_you_see-consider,_upon_closer_look).md|~고_보면_[go_bomyeon]_(Upon_closer_look,_when_you_consider).md
~기_힘들다_[gi_himdeulda]_(It_s_hard_to).md|~기_힘들다_[gi_himdeulda]_(It_s_hard_to...).md
~기는_하다_[gineun_hada]_(Do_something_as_a_habit).md|~기는_하다_[gineun_hada]_(Indeed_do,_but...).md
~느라고_[neurago]_(Because,_in_order_to).md|~느라고_[neurago]_(Because_of_being_occupied_with).md
~는_데_[neun_de]_(But).md|~는데_[neunde]_(But_-_however_-_and).md
~는_바람에_[neun_barame]_(Because_of).md|~는_바람에_[neun_barame]_(Because_of_-_Due_to).md
~는데다_[neundedda]_(Furthermore,_and).md|~는데다_[neunde-da]_(Furthermore,_and).md
~는측에서_[neuncheugeseo](From_the_perspective_of).md|~는측에서_[neuncheugeseo]_(From_the_perspective_of).md
~대로이면_[daeroimyeon]_(If_it_s_as_..._said).md|~대로이면_[daeroimyeon]_(If_it’s_as_..._said).md
~더니만_[deoniman]_(After,_and_then).md|~더니_[deoni]_(After,_and_then).md
~라서_[raseo]_(Because,_so).md|~라서_[raseo]_(Because_[it_is_Noun],_so...).md
~아-어-여_주다_[a-eo-yeo_juda]_(Do_for_someone).md|~아-어-여_주다_[a-eo-yeo_juda]_(Do_something_for_someone).md
~아-어-여도_되다_[a-eo-yeodo_doeda]_(Is_it_okay_to).md|~아-어-여도_되다_[a-eo-yeodo_doeda]_(Is_it_okay_to_~_-_May_I_~).md
~아-어_버리다_[a-eo_beorida]_(Completely_do,_unfortunately_do).md|~아-어_버리다_[a-eo_beorida]_(Completely_do,_or_unfortunately_do).md
~어-아_다니다_[eo-a_danida]_(To_keep_doing).md|~어-아_다니다_[eo-a_danida]_(To_attend,_to_go_regularly).md
~어-아_들다_[eo-a_deulda]_(Start_to).md|~어-아_들다_[eo-a_deulda]_(Suddenly_start_to).md
~을-ㄹ_듯하다_[eul-l_deushada]_(Seems_like).md|~을-ㄹ_듯하다_[eul-l_deuthada]_(Seems_like).md
~을-ㄹ_수록_[eul-l_surok]_(The_more).md|~을-ㄹ_수록_[eul-l_surok]_(The_more...).md
~을리가_없다_[eulliga_eopda]_(It_s_unlikely_that).md|~을_리가_없다_[eulliga_eopda]_(It_s_unlikely_that).md
~을지언정_[euljieonjeong]_(Whether...or...).md|~을지언정_[euljieonjeong]_(Even_if,_even_though).md
~이나_~_[ina]_(Either,_or).md|~이나_~_[ina]_(Either..._or...).md
~이어서_[ieoseo]_(And_then,_and_so).md|~이어서_[ieoseo]_(And_then,_following_that).md
~이어서_[ieoseo]_(And_then,_so).md|~이어서_[ieoseo]_(And_then,_so)_—_(Using_~아-어서).md
~장_[jang]_(Counting_unit_for_items).md|~장_[jang]_(Counting_unit_for_flat_items).md
~커지다_[keojida]__(Become_bigger,_more_important).md|~커지다_[keojida]_(Become_bigger,_more_important).md
~케_되다_[ke_dweda]_(Become).md|~게_되다_[ge_gatda]_(Become,_end_up).md 
~케_하다_[ke_hada]_(Make).md|~게_하다_[ge_hada]_(Make).md
~케_하다_[ke_hada]_(To_make).md|~게_하다_[ge_hada]_(To_make).md
~케하다_[kehada]_(To_make_so_that).md|~게_하다_[ge_hada]_(To_make_someone_do_something).md
~하기는_[hagineun]_(But).md|~하기는_[hagineun]_(But,_however).md
~하느라_[haneura]_(Because,_in_order_to).md|~하느라_[haneura]_(Because_of_doing,_due_to).md
~하다가는_[hadaganeun]_(If_continue_doing).md|~하다가는_[hadaganeun]_(If_you_continue_doing).md
~하여_그런지_[hayeo_geureonji]_(Perhaps_because).md|~해서_그런지_[haeseo_geureonji]_(Perhaps_because).md
~할_수록_[hal_surok]_(The_more...).md|~할수록_[hal_surok]_(The_more...).md
~할_텐데_[hal_tende]_(I_thought-would_have_thought_that..).md|~할_텐데_[hal_tende]_(I_thought-would_have_thought_that...).md
~혀-어-여야_[hyeo-eo-yeoya]_(Have_to).md|~아-어-여야_[a-eo-yeoya]_(Have_to).md
는-은_것_[neun-eun_geot]_(The_thing_that,_nominalizing).md|는-은_것_[neun-eun_geot]_(The_thing_that…,_nominalizing).md
다가_[daga]_(And_then,_but).md|다가_[daga]_(And_then,_while).md
아-어-여_가다_[a-eo-yeo_gada]_(Be_going_to_do).md|아-어-여_가다_[a-eo-yeo_gada]_(Continue-keep_doing_something_–_away_from_the_present).md
아-어-여_오다_[a-eo-yeo_oda]_(Come_to_do).md|아-어-여_오다_[a-eo-yeo_oda]_(Come_to_do_-_end_up_doing).md
